table_catalog,table_schema,table_name,table_type,table_description
dev_data_modelling_gold,user,f_segmented_user_behaviour_repeat_rate,MANAGED,
dev_data_modelling_gold,user,f_session,MANAGED,
dev_data_modelling_gold,user,f_user_behaviour_28d,MANAGED,
dev_data_modelling_gold,user,f_user_behaviour_7d,MANAGED,
dev_data_modelling_gold,user,f_user_behaviour_daily,MANAGED,
dev_data_modelling_gold,user,f_user_behaviour_monthly,MANAGED,
dev_data_modelling_gold,user,f_user_behaviour_repeat_rate,MANAGED,
dev_data_modelling_gold,user,f_user_cohort_value,MANAGED,
dev_data_modelling_gold,user,f_user_daily_metrics,MANAGED,
dev_data_modelling_gold,user,f_user_daily_metrics_windowed,MANAGED,
dev_data_modelling_gold,user,f_user_day_profile,MANAGED,
dev_data_modelling_gold,user,f_user_revenue_daily,MANAGED,
dev_data_modelling_gold,user,f_user_revenue_repeat_rate,MANAGED,
dev_data_modelling_gold,user,f_user_value_daily,MANAGED,
dev_data_modelling_gold,user,v_user_cohort_profile,VIEW,
dev_data_modelling_silver,advertising,ad_click,MANAGED,
dev_data_modelling_silver,advertising,ad_impression,MANAGED,
dev_data_modelling_silver,audience,acquisition,MANAGED,
dev_data_modelling_silver,audience,affiliate_partner,MANAGED,
dev_data_modelling_silver,audience,app_acquisition,MANAGED,
dev_data_modelling_silver,audience,app_action,MANAGED,
dev_data_modelling_silver,audience,b2b_acquisition,MANAGED,
dev_data_modelling_silver,audience,branch_click,MANAGED,
dev_data_modelling_silver,audience,branch_journey,MANAGED,
dev_data_modelling_silver,audience,branch_journey_dismissal,MANAGED,
dev_data_modelling_silver,audience,branch_journey_view,MANAGED,
dev_data_modelling_silver,audience,branch_skan,MANAGED,
dev_data_modelling_silver,audience,conversion_last_click_attribution,MANAGED,
dev_data_modelling_silver,audience,conversion_weighted_attribution,MANAGED,
dev_data_modelling_silver,audience,marketing_ad,MANAGED,
dev_data_modelling_silver,audience,marketing_adgroup,MANAGED,
dev_data_modelling_silver,audience,marketing_associate,MANAGED,
dev_data_modelling_silver,audience,marketing_campaign,MANAGED,
dev_data_modelling_silver,audience,marketing_channel,MANAGED,
dev_data_modelling_silver,audience,marketing_engine,MANAGED,
dev_data_modelling_silver,audience,marketing_keyword,MANAGED,
dev_data_modelling_silver,audience,paid_marketing_account,MANAGED,
dev_data_modelling_silver,audience,paid_marketing_campaign,MANAGED,
dev_data_modelling_silver,audience,paid_marketing_campaign_click,MANAGED,
dev_data_modelling_silver,audience,paid_marketing_campaign_impression,MANAGED,
dev_data_modelling_silver,audience,reacquisition,MANAGED,
dev_data_modelling_silver,audience,seo_landing_page,MANAGED,
dev_data_modelling_silver,audience,session_last_click_attribution,MANAGED,
dev_data_modelling_silver,audience,session_weighted_attribution,MANAGED,
dev_data_modelling_silver,audience,unmapped_marketing_campaign,MANAGED,
dev_data_modelling_silver,audience,web_acquisition,MANAGED,
dev_data_modelling_silver,commercial,booking,MANAGED,
dev_data_modelling_silver,commercial,redirect,MANAGED,
dev_data_modelling_silver,data_governance,catalog,MANAGED,
dev_data_modelling_silver,data_governance,data_product,MANAGED,
dev_data_modelling_silver,data_governance,mc_alert,MANAGED,
dev_data_modelling_silver,data_governance,mc_monitor,MANAGED,
dev_data_modelling_silver,data_governance,mc_monitor_run_daily_summary,MANAGED,
dev_data_modelling_silver,data_governance,schema,MANAGED,
dev_data_modelling_silver,data_governance,table,MANAGED,
dev_data_modelling_silver,data_governance,team,MANAGED,
dev_data_modelling_silver,finance,revenue_event,MANAGED,
dev_data_modelling_silver,meta,car_hire_search_filter,MANAGED,A car hire search filters.
dev_data_modelling_silver,meta,car_hire_search_intent,MANAGED,"A hotel search request or search intent is the action a user takes when they enter their accommodation criteria (such as destination or property location, check-in and check-out dates, number of guests, and room preferences) into a hotel search platform and submit it to find available stays. This request is sent to backend systems, which then query hotel partners, suppliers, or direct inventories to retrieve matching accommodation options.
        Each request is uniquely identified (commonly by a request_id) and contains all the parameters required to perform the hotel availability search, including traveller context such as market, currency, and device information."
dev_data_modelling_silver,meta,flight_search_filter,MANAGED,A flight search filters
dev_data_modelling_silver,meta,flight_search_intent,MANAGED,"A flight search request or search intent is the action a user takes when they enter their travel criteria (such as origin, destination, travel dates, number of passengers, and cabin class) into a flight search platform and submit it to find available flights. This request is sent to the backend systems, which then query airline and partner inventories to find matching flight options. The request is uniquely identified (often by a request_id) and contains all the parameters needed to perform the search"
dev_data_modelling_silver,meta,hotel_search_filter,MANAGED,A hotel search filters.
dev_data_modelling_silver,meta,hotel_search_intent,MANAGED,"A hotel search request or search intent is the action a user takes when they enter their accommodation criteria (such as destination or property location, check-in and check-out dates, number of guests, and room preferences) into a hotel search platform and submit it to find available stays. This request is sent to backend systems, which then query hotel partners, suppliers, or direct inventories to retrieve matching accommodation options.
                Each request is uniquely identified (commonly by a request_id) and contains all the parameters required to perform the hotel availability search, including traveller context such as market, currency, and device information."
dev_data_modelling_silver,meta,search_filter_core,VIEW,Core attributes across all verticals.
dev_data_modelling_silver,meta,search_intent_core,VIEW,Core attributes across all verticals.
dev_data_modelling_silver,meta_pdm,bridge_search_intent_experimentation,VIEW,"The table contains data related to user participation in experiments. It includes information such as user ID, the date of participation, and details about the experiment including its ID, name, version, and variant. This data can be used to analyze user engagement with different experimental setups, track performance across various versions, and assess the impact of different variants on user behavior."
dev_data_modelling_silver,meta_pdm,car_hire_search_filter,MANAGED,"A car hire search filters.   
        
        PK: search_filter_id: xxhash64()      
                  - guid    
                  - utid    
                  - dt
                  - search_guid
                  - sort_order
                  - is_passengers_collapsed    
                  - passengers_values_label    
                  - is_passengers_values_checked    
                  - is_passengers_values_unavailable    
                  - is_car_types_collapsed    
                  - car_types_values_label    
                  - is_car_types_values_checked    
                  - is_car_types_values_unavailable    
                  - is_pick_up_types_collapsed    
                  - pick_up_types_values_label    
                  - is_pick_up_types_values_checked    
                  - is_pick_up_types_values_unavailable    
                  - is_features_collapsed    
                  - features_values_label    
                  - is_features_values_checked    
                  - is_features_values_unavailable    
                  - is_transmissions_collapsed    
                  - transmissions_values_label    
                  - is_transmissions_values_checked    
                  - is_transmissions_values_unavailable    
                  - is_suppliers_collapsed    
                  - suppliers_values_label    
                  - is_suppliers_values_checked    
                  - is_suppliers_values_unavailable    
                  - is_recommended_options_collapsed    
                  - recommended_options_values_label    
                  - is_recommended_options_values_checked    
                  - is_recommended_options_values_unavailable    
                  - is_greener_choices_collapsed    
                  - greener_choices_values_label    
                  - is_greener_choices_values_checked    
                  - is_greener_choices_values_unavailable    
                  - is_seats_collapsed    
                  - seats_values_label    
                  - is_seats_values_checked    
                  - is_seats_values_unavailable    
        
           
        Below fields are always null currently, but should be populated in the future. 
        In the first iteration, dont add these fields:   
              - car_classes   
              - car_categories   
              - fuel_policies   
              - star_ratings   
              - booking_sites   
              - cancellation_policy   
              - policies   
              - booking_options   
              - price   
           
                  
        # --- Car Classes ---   
        ""is_car_classes_collapsed"",   
        ""car_classes_values_label"",   
        ""is_car_classes_values_checked"",   
        ""is_car_classes_values_unavailable"",   
   
        # --- Car Categories ---   
        ""is_car_categories_collapsed"",   
        ""car_categories_values_label"",   
        ""is_car_categories_values_checked"",   
        ""is_car_categories_values_unavailable"",   
        
          # --- Fuel Policies ---   
        ""is_fuel_policies_collapsed"",   
        ""fuel_policies_values_label"",   
        ""is_fuel_policies_values_checked"",   
        ""is_fuel_policies_values_unavailable"",   
   
      
        # --- Star Ratings ---   
        ""is_star_ratings_collapsed"",   
        ""star_ratings_values_label"",   
        ""is_star_ratings_values_checked"",   
        ""is_star_ratings_values_unavailable"",   
      

        # --- Booking Sites ---   
        ""is_booking_sites_collapsed"",   
        ""booking_sites_values_label"",   
        ""is_booking_sites_values_checked"",   
        ""is_booking_sites_values_unavailable"",   
   
        # --- Cancellation Policy ---   
        ""is_cancellation_policy_collapsed"",   
        ""cancellation_policy_values_label"",   
        ""is_cancellation_policy_values_checked"",   
        ""is_cancellation_policy_values_unavailable"",   
           
           
        # --- Policies ---   
        ""is_policies_collapsed"",   
        ""policies_values_label"",   
        ""is_policies_values_checked"",   
        ""is_policies_values_unavailable"",   
           
        # --- Booking Options ---   
        ""is_booking_options_collapsed"",   
        ""booking_options_values_label"",   
        ""is_booking_options_values_checked"",   
        ""is_booking_options_values_unavailable"",   
   
        # --- Price ---   
        ""is_price_collapsed"",   
        ""price_values_label"",   
        ""is_price_values_checked"",   
        ""is_price_values_unavailable"","
dev_data_modelling_silver,meta_pdm,car_hire_search_intent,MANAGED,"A hotel search request or search intent is the action a user takes when they enter their accommodation criteria (such as destination or property location, check-in and check-out dates, number of guests, and room preferences) into a hotel search platform and submit it to find available stays. This request is sent to backend systems, which then query hotel partners, suppliers, or direct inventories to retrieve matching accommodation options.
Each request is uniquely identified (commonly by a request_id) and contains all the parameters required to perform the hotel availability search, including traveller context such as market, currency, and device information."
dev_data_modelling_silver,meta_pdm,flight_booking_selection,MANAGED,Placeholder.
dev_data_modelling_silver,meta_pdm,flight_search_filter,MANAGED,A flight search filters
dev_data_modelling_silver,meta_pdm,flight_search_intent,MANAGED,"A flight search request or search intent is the action a user takes when they enter their travel criteria (such as origin, destination, travel dates, number of passengers, and cabin class) into a flight search platform and submit it to find available flights. This request is sent to the backend systems, which then query airline and partner inventories to find matching flight options. The request is uniquely identified (often by a request_id) and contains all the parameters needed to perform the search"
dev_data_modelling_silver,meta_pdm,flight_search_intent_multi_city,MANAGED,"Flight search request leg table. Each row represents one leg of a journey. 
  ONE_WAY trips have 1 leg, RETURN trips have 2 legs (outbound + inbound), 
  and MULTI_CITY trips have N legs. This normalized structure allows for 
  efficient querying and analysis of individual journey segments."
dev_data_modelling_silver,meta_pdm,flight_search_result_core,MANAGED,Flight search result leg.
dev_data_modelling_silver,meta_pdm,flight_search_result_leg,MANAGED,Flight search result leg.
dev_data_modelling_silver,meta_pdm,flight_search_result_segment,MANAGED,Flight search result leg.
dev_data_modelling_silver,meta_pdm,hotel_search_filter,MANAGED,"A hotel search filters.      
        
              
          PK: search_filter_id: xxhash64()      
          - guid    
          - utid    
          - dt    
          - search_guid    
          - request_id    
          - sort_order    
          - price_display    
          - is_no_stars_selected    
          - is_one_stars_selected    
          - is_two_stars_selected    
          - is_three_stars_selected    
          - is_four_stars_selected    
          - is_five_stars_selected    
          - price    
          - meal_plan    
          - guest_rating    
          - popular_with    
          - is_cug_filter_applied"
dev_data_modelling_silver,meta_pdm,hotel_search_intent,MANAGED,"A hotel search request or search intent is the action a user takes when they enter their accommodation criteria (such as destination or property location, check-in and check-out dates, number of guests, and room preferences) into a hotel search platform and submit it to find available stays. This request is sent to backend systems, which then query hotel partners, suppliers, or direct inventories to retrieve matching accommodation options.
Each request is uniquely identified (commonly by a request_id) and contains all the parameters required to perform the hotel availability search, including traveller context such as market, currency, and device information."
dev_data_modelling_silver,meta_pdm,intermediate_flight_search_intent,MANAGED,"A flight search request or search intent is the action a user takes when they enter their travel criteria (such as origin, destination, travel dates, number of passengers, and cabin class) into a flight search platform and submit it to find available flights. This request is sent to the backend systems, which then query airline and partner inventories to find matching flight options. The request is uniquely identified (often by a request_id) and contains all the parameters needed to perform the search"
dev_data_modelling_silver,meta_pdm,intermediate_flight_search_result,MANAGED,A flight search results
dev_data_modelling_silver,meta_pdm,search_filter_core,VIEW,Core attributes across all verticals.
dev_data_modelling_silver,meta_pdm,search_intent_core,VIEW,Core attributes across all verticals.
dev_data_modelling_silver,reference,car_hire_vendor,MANAGED,The car hire vendors data coming from  CasC files
dev_data_modelling_silver,reference,carrier,MANAGED,"The carrier reference table contains data pertaining to carriers (e.g. easyJet) made available by Skyscanner internal carrier API, which in turn presents data from the CasC carrier files"
dev_data_modelling_silver,reference,city,MANAGED,City
dev_data_modelling_silver,reference,country,MANAGED,Country
dev_data_modelling_silver,reference,currency_conversion,MANAGED,"Currency conversion rates between all active currencies and USD, GBP, EUR by date"
dev_data_modelling_silver,reference,flight_route,MANAGED,Flight Routes
dev_data_modelling_silver,reference,geography,MANAGED,Geographical entities and relationships between them
dev_data_modelling_silver,reference,geography_daily,MANAGED,Geographical entities and relationships between them
dev_data_modelling_silver,reference,hotel,MANAGED,
dev_data_modelling_silver,reference,locale,MANAGED,"A reference table for locale, relating to user culture data"
dev_data_modelling_silver,reference,market,MANAGED,
dev_data_modelling_silver,reference,partner_brand,MANAGED,Partner brand
dev_data_modelling_silver,reference,user_agent,MANAGED,"User agent reference table, UA strings seen in events and parsed by DeviceAtlas"
dev_data_modelling_silver,user,account,MANAGED,
dev_data_modelling_silver,user,account_login,MANAGED,
dev_data_modelling_silver,user,account_logout,MANAGED,
dev_data_modelling_silver,user,client_instance,MANAGED,
dev_data_modelling_silver,user,consent,MANAGED,
dev_data_modelling_silver,user,element_impression,MANAGED,
dev_data_modelling_silver,user,element_interaction,MANAGED,
dev_data_modelling_silver,user,jurisdiction,MANAGED,
dev_data_modelling_silver,user,page,MANAGED,
dev_data_modelling_silver,user,page_type,MANAGED,
dev_data_modelling_silver,user,page_view,MANAGED,
dev_data_modelling_silver,user,preferences,MANAGED,
dev_data_modelling_silver,user,profile,MANAGED,
dev_data_modelling_silver,user,save_item_to_list,MANAGED,
dev_data_modelling_silver,user,session,MANAGED,
dev_data_modelling_silver,user,user,MANAGED,
dev_data_modelling_silver,user,user_consent,MANAGED,
dev_silicon,ad_quality_score,ad_historical_ctr,MANAGED,"Dataset that provides the last 7 days CTR for a given line item on a given dt

**Granularity**: One row per line_item_id per dt

**Data contract**: 

**Data pipeline**: https://skyscanner-prod.cloud.databricks.com/jobs/928205027814222?o=1849662692269217

**Data pipeline (Github)**: https://github.com/Skyscanner/ad-quality-score-pipelines/

**SLO**: Daily"
dev_silicon,ad_quality_score,filtered_pricing_liveupdatescompleted,MANAGED,"Filtered flight search live update events with itinerary details (e.g price, duration etc).

**Granularity**: One row per itinerary_id per dt per search_guid/session_id/request_id

**Data contract**: 

**Data pipeline**: https://skyscanner-prod.cloud.databricks.com/jobs/928205027814222?o=1849662692269217

**Data pipeline (Github)**: https://github.com/Skyscanner/ad-quality-score-pipelines/

**SLO**: Daily"
dev_silicon,ad_quality_score,training_data,MANAGED,"Impression-level dataset for training the Ad Quality Score CTR prediction model.

**Granularity**: One row per ads_impression_id per dt

**Data contract**: 

**Data pipeline**: https://skyscanner-prod.cloud.databricks.com/jobs/928205027814222?o=1849662692269217

**Data pipeline (Github)**: https://github.com/Skyscanner/ad-quality-score-pipelines/

**SLO**: Daily"
dev_silicon,advertising_cvr,ads_cvr_route_training_dataset_v0,MANAGED,"Bayesian hierarchical model training dataset. UNION of F2.0 redirects aggregated to the 3-key route grain and F1.5 booking_data_route_level (already at the same 3-key grain) tagged by data_source. Sits below the Bayesian model trainer.

**Granularity**: One row per (partner_id, partner_type, line_item_id, origin_airport_entity_id, destination_airport_entity_id, data_source) per dt

**Data contract**: To do

**Data pipeline**: ads-cvr-redirect-model (ads-cvr-route-training-dataset-builder-task)

**Data pipeline (Github)**: https://github.com/Skyscanner/ads-cvr-model-spark

**SLO**: TBD"
dev_silicon,advertising_cvr,booking_data_redirect_level,MANAGED,"F2.0 redirect-level booking layer. Surfaces all tracked redirects with their booking labels and per-redirect features. Sits below the CVR training datasets so booking-coverage drift is observable independently of training-time feature engineering.

**Granularity**: One row per redirect (F2.0)

**Data contract**: To do

**Data pipeline**: ads-cvr-redirect-model (booking-data-redirect-level-builder-task)

**Data pipeline (Github)**: https://github.com/Skyscanner/ads-cvr-model-spark

**SLO**: TBD"
dev_silicon,advertising_cvr,booking_data_route_level,MANAGED,"F1.5 route-level booking layer. Aggregates F1.5 partner redirects to the 3-key grain (partner_id, partner_type, line_item_id, origin_airport_entity_id, destination_airport_entity_id) and attaches n_bookings directly from route_revenue.conversions (one-to-one join).

**Granularity**: One row per (partner_id, partner_type, line_item_id, origin_airport_entity_id, destination_airport_entity_id) (F1.5)

**Data contract**: To do

**Data pipeline**: ads-cvr-redirect-model (booking-data-route-level-builder-task)

**Data pipeline (Github)**: https://github.com/Skyscanner/ads-cvr-model-spark

**SLO**: TBD"
dev_silicon,advertising_cvr,cvr_redirect_training_dataset_v0,MANAGED,"Data to train CVR model

**Granularity**: One row per redirect

**Data contract**: To do

**Data pipeline**: ads-cvr-redirect-model (cvr-training-data-builder-task)

**Data pipeline (Github)**: https://github.com/Skyscanner/ads-cvr-model-spark

**SLO**: TBD"
dev_silicon,advertising_forecasting,available_impressions_training_set_v0,MANAGED,
dev_silicon,advertising_forecasting,features_available_impressions,MANAGED,
dev_silicon,ai_playground,hotel_filter_evaluations,MANAGED,
dev_silicon,alternative_hotel_recs_ml,baseline_coverage,MANAGED,
dev_silicon,alternative_hotel_recs_ml,baseline_eval,MANAGED,
dev_silicon,alternative_hotel_recs_ml,hotel_recs_ordered_click_context_daily_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,per_hotel_popularity,MANAGED,
dev_silicon,alternative_hotel_recs_ml,session_ground_truth,MANAGED,
dev_silicon,alternative_hotel_recs_ml,source_hotel_hybrid_predictions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_candidate_components,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_candidate_components_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_contextual_predictions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_daily_raw,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_daily_raw_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_dataset_summary,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_dataset_summary_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_source_features,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_source_features_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_candidates,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_candidates_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_dataset,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_dataset_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_interactions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_latest_training_interactions_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_predictions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_predictions_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_source_features,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_source_features_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_candidates,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_candidates_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_dataset,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_dataset_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_interactions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_test_interactions_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_candidates,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_candidates_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_dataset,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_dataset_pr239,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_interactions,MANAGED,
dev_silicon,alternative_hotel_recs_ml,xgboost_training_interactions_pr239,MANAGED,
dev_silicon,browse_price_accuracy,accuracy_model_training_data,MANAGED,"Training Data for TAPS Accuracy model - used for evicting incaccurate quotes

**Granularity**: One row per search session_id

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-training

**SLO**: Daily at 9 am UTC"
dev_silicon,browse_price_accuracy,calendar_cell_cheapest_quote,MANAGED,"The cheapest TAPS quote for every calendar cell (route-date combination)

**Granularity**: One row per route-date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.com/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,calendar_cell_cheapest_quote_challenger,MANAGED,"The cheapest TAPS quote for every calendar cell (route-date combination)

**Granularity**: One row per route-date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,eviction_metadata,MANAGED,"TAPS models metadata for eviction purposes

**Granularity**: One row per TAPS model

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.com/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,eviction_metadata_challenger,MANAGED,"TAPS treatment models metadata for eviction purposes. This table is to support TAPS experiments and is not populated constantly

**Granularity**: One row per TAPS model

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,eviction_metadata_treatment,MANAGED,
dev_silicon,browse_price_accuracy,filtered_enriched_pam_test,MANAGED,"Volatility features used by the accuracy model in the TAPS model pipeline

**Granularity**: One row per route date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: 

**SLO**: Daily at X am UTC"
dev_silicon,browse_price_accuracy,flight_price_volatility_challenger_daily_agg,MANAGED,"Volatility features used by the accuracy model in the TAPS model pipeline

**Granularity**: One row per route date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-training

**SLO**: Daily at 9 am UTC"
dev_silicon,browse_price_accuracy,flight_price_volatility_daily_agg,MANAGED,"Volatility features used by the accuracy model in the TAPS model pipeline

**Granularity**: One row per route date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.com/skyscanner/bpa-accuracy-model-training

**SLO**: Daily at 9 am UTC"
dev_silicon,browse_price_accuracy,inaccurate_calendar_cell,MANAGED,"List of inaccurate calendar cells based on the Quote Accuracy model predictions

**Granularity**: One row per route-date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.com/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,inaccurate_calendar_cell_challenger,MANAGED,"List of inaccurate calendar cells for TAPS treatment based on the Quote Accuracy model predictions. This table is to support TAPS experiments and is not populated constantly

**Granularity**: One row per route-date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,inaccurate_calendar_cell_treatment,MANAGED,"List of inaccurate calendar cells for TAPS treatment based on the Quote Accuracy model predictions. This table is to support TAPS experiments and is not populated constantly

**Granularity**: One row per route-date combination

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.skyscannertools.net/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every 3 hours"
dev_silicon,browse_price_accuracy,partner_market_map,MANAGED,"List of markets for every partner

**Granularity**: One row per partner-market pair

**Data contract**: 

**Data pipeline**: 

**Data pipeline (Github)**: https://github.com/skyscanner/bpa-accuracy-model-inferencing

**SLO**: Every Monday 3 AM"
